ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC842005,MERAN/OBERMAIS MERANO/MAIA ALTA,TBEE84206C,RIFIANO/RIFFIAN,Non Disponibile,39010,H284,RIFIANO * RIFFIAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP015000,Luigi Barone,AO1E015040,primaria  Ayas,"Rue Prabochon, 1 - Champoluc",11020,A094,AYAS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-lbarone@regione.vda.it,Non Disponibile,www.barone.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale",AOTF020014,"Istituzione scolastica di istruzione liceale, tecnica e professionale - Operatore elettrico (triennale)","Via Frère Gilles, 33",11029,C282,VERRE'S,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,is-iltpverres@regione.vda.it,Non Disponibile,www.isiltp.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOPM010003,"Liceo delle scienze umane e scientifico ""Regina Maria Adelaide""",AOPM010003,"Liceo delle scienze umane  ""Regina Maria Adelaide""","Via Chavanne, 23/E",11100,A326,AOSTA,NORMALE,ISTITUTO MAGISTRALE,ND,Non Disponibile,is-madelaide@regione.vda.it,is-madelaide@pec.regione.vda.it,http://www.istitutorma.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP007000,Maria Ida Viglino,AO1A007080,infanzia  Villeneuve,"Via P. Chanoux, 72",11018,L981,VILLENEUVE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-miviglino@regione.vda.it,Non Disponibile,www.isviglino.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP005000,Eugenia Martinet,AO1M005010,"secondaria di primo grado ""J.B. Cerlogne""","C.so St-Martin de Corléans, 252",11100,A326,AOSTA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,is-emartinet@regione.vda.it,Non Disponibile,www.martinet.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS009009,"""DON LORENZO MILANI"" ROVERETO",TNRC009018,"""DON LORENZO MILANI"" - ROVERETO",VIA  BALISTA,38068,H612,ROVERETO,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,NO,Non Disponibile,milani@domir.it,Non Disponibile,www.domir.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC837009,"""GIUDICARIE ESTERIORI""",TNEE83703D,FIAVE',VIA A.DEGASPERI,38075,D565,FIAVE',NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.giudicariescuola.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC833002,"""BASSA VAL DI SOLE """,TNMM833013,"MALE' ""GIOVANNI CICCOLINI""","VIA TADDEI DE MAURIS, 4",38027,E850,MALE',NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icbassavaldisole.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC824007,"""MEZZOLOMBARDO-PAGANELLA""",TNEE82405D,"FAI DELLA PAGANELLA ""DON ROSSI""","VIA VILLA, 41",38010,D468,FAI DELLA PAGANELLA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icmezzolombardo.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE001001,APPIANO/EPPAN,TBEE001045,MISSIANO/MISSIAN,Non Disponibile,39057,A332,APPIANO SULLA STRADA DEL VINO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC81400L,"""PERGINE 1""",TNIC81400L,"""PERGINE 1""","VIA MONTE CRISTALLO, 2",38057,G452,PERGINE VALSUGANA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.ic.pergine1@scuole.provincia.tn.it,ic.pergine1@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85000Q,"""LADINO DI FASSA""",TNIC85000Q,"""LADINO DI FASSA""","VIA GIUSEPPE SORAPERRA,  6",38036,M390,SAN GIOVANNI DI FASSA - SEN JA,NORMALE,ISTITUTO COMPRENSIVO,SI,TNIC85000Q,segr.scuolaladinadifassa@scuole.provincia.tn.it,scuolaladinadifassa@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC803006,"""VIGOLO VATTARO""",TNMM803017,ALTOPIANO VIGOLANA-VIGOLO VATT.,"VIA GIUSEPPE GARIBALDI, 4",38049,M350,ALTOPIANO DELLA VIGOLANA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icvigolovattaro.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS00300A,"""MARTINO MARTINI"" MEZZOLOMBARDO",TNCT70400V,EDUCAZIONE ADULTI I CICLO MEZZOLOMBARDO,"PIAZZA A. VITTORIA, 3",38017,F187,MEZZOLOMBARDO,NORMALE,CENTRO TERRITORIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBPC090009,I.I.S. II GR. BRESSANONE,IBPC090009,I.I.S. II GR. BRESSANONE,VIA  PRA' DELLE SUORE 1,39042,B160,BRESSANONE * BRIXEN,NORMALE,LICEO CLASSICO,SI,Non Disponibile,ipsc.bress@scuola.alto-adige.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC833002,"""BASSA VAL DI SOLE """,TNEE833058,"MALE' ""CESARE CRISTOFORETTI""","VIA ALLA CROCE, 14",38027,E850,MALE',NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icbassavaldisole.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82100Q,"""ALDENO-MATTARELLO""",TNMM82101R,ALDENO,"VIA DELLA CROCE, 2",38060,A178,ALDENO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.istituti.vivoscuola.it/spaziowebmediemattarello/Medie_mat
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC84500L,MERAN-STADT/MERANO-CITTA',TBMM84501N,MERAN STADT MERANO CITTA,VIA        KARL WOLF           30,39012,F132,MERANO * MERAN,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBIC80900T,BOLZANO II - DON BOSCO,IBEE809021,ALEXANDER LANGER,"PIAZZA MARIA MONTESSORI,10",39100,A952,BOLZANO * BOZEN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83300A,RIO DI PUSTERIA/MUEHLBACH,TBEE83304G,VALLES/VALS,Non Disponibile,39037,H299,RIO DI PUSTERIA * MUEHLBACH,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC814001,SIMON YBERTRACHER,TBEE814057,STAVA/STABEN,Non Disponibile,39025,F849,NATURNO * NATURNS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,LBIC80200A,I.C.D.LOC. LADINE - BADIA,LBIC80200A,I.C.D.LOC. LADINE - BADIA,BADIA,39036,A537,BADIA * ABTEI,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.abtei@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC820008,ISC RABER VIPITENO III,TBEE82001A,PRATI/WIESEN,Non Disponibile,39040,L564,VAL DI VIZZE * PFITSCH,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE01700E,EGNA/NEUMARKT,TBEE01700E,EGNA/NEUMARKT,BOZNER STRASSE 19,39044,D392,EGNA * NEUMARKT,NORMALE,SCUOLA PRIMARIA,SI,Non Disponibile,gsd.neumarkt@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC840005,"""ARCO""",TNEE84004A,ARCO - ROMARZOLLO,"VIA DELLA FOSSA, 6",38062,A372,ARCO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icarco.gov.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC82900P,KARL MEUSBURGER,TBMM82901Q,KARL MEUSBURGER,VIA        ENRICO FERMI        2,39031,B220,BRUNICO * BRUNECK,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80200P,FRANZ POEDER,TBMM80202R,PETER MITTERHOFER,VIA GAUDENTENTURM 18,39020,G328,PARCINES * PARTSCHINS,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE014003,CHIUSA I/KLAUSEN I,TBEE01409C,SAN PIETRO/SANKT PETER,Non Disponibile,39040,E420,LAION * LAJEN,DI MONTAGNA,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC853007,"""ROVERETO EST""",TNEE85306E,"VALLARSA - RAOSSI ""CAVALLIN""",LOC. RAOSSI,38060,L588,VALLARSA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.roveretoest.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIS004006,"""MARIE CURIE"" PERGINE",TNIS004006,"""MARIE CURIE"" PERGINE","VIA SAN PIETRO, 4",38057,G452,PERGINE VALSUGANA,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,segr.curie.pergine@scuole.provincia.tn.it,curie@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC83400T,"""VAL RENDENA""",TNEE834054,PINZOLO - MADONNA DI CAMPIGLIO,"VIA SPINALE, 24",38084,G681,PINZOLO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,icvalrendena.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC825003,"""LAVIS""",TNMM825014,"LAVIS ""ALDO STAINER""","VIA CARLO SETTE, 13/A",38015,E500,LAVIS,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.iclavis.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82800E,"""FONDO-REVO'""",TNEE82801L,BORGO D'ANAUNIA - CASTELFONDO,"VIA MADONNA PELLEGRINA, 5",38020,M429,BORGO D'ANAUNIA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icfondorevo.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP013000,Abbé Prosper Duc,AO1E013030,primaria  Châtillon La Sounere,Fraz. La Sounere,11024,C294,CHATILLON,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-apduc@regione.vda.it,Non Disponibile,www.prosperduc.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC83400T,"""VAL RENDENA""",TNEE834076,PORTE DI RENDENA - DARE',"VIA DARE', 111",38080,M358,PORTE DI RENDENA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,icvalrendena.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,LBIC803006,I.C. D.L. L. SAN VIGILIO MAREBB,LBIC803006,I.C. D.L. L. SAN VIGILIO MAREBB,VIA PLAN DE CORONES 26,39030,E938,MAREBBE * ENNEBERG,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.stvigil@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP006000,Valdigne Mont Blanc,AO1E006030,primaria  Pré-St-Didier,"V.le Monte Bianco, 17",11010,H042,PRE'-SAINT-DIDIER,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-valdigne@regione.vda.it,Non Disponibile,www.isvmb.edu.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP018000,ELIO REINOTTI,AO1A018040,infanzia Gressoney Saint-Jean,"Piazza Beck Peccoz, 1",11025,E168,GRESSONEY-SAINT-JEAN,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-ereinotti@regione.vda.it,Non Disponibile,www.elioreinotti
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP005000,Eugenia Martinet,AO1A005010,"infanzia ""St-Martin""","Via Montmayeur, 26",11100,A326,AOSTA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-emartinet@regione.vda.it,Non Disponibile,www.martinet.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC859006,"""ROVERETO NORD""",TNEE85905C,"ROVERETO - NORIGLIO ""CHIESA""","VIA ROMANI, 4",38068,H612,ROVERETO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icroveretonord.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC808009,PREDAZZO-TESERO-PANCHIA'-ZIANO,TNMM80802B,"TESERO ""GIOVANNI ALBERTI""","VIA FIA, 11/A",38038,L147,TESERO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ic-predazzotesero.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC84700X,"""AVIO""",TNEE847012,AVIO,"VIA M.PEROTTI, 47",38063,A520,AVIO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.istitutoavio.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82100Q,"""ALDENO-MATTARELLO""",TNEE82102V,ALDENO,VIA 25 APRILE,38060,A178,ALDENO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icaldenomattarello.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP010000,Mont Emilius 1,AO1E010010,primaria  Fénis,"Loc. Chez Croiset, 5",11020,D537,FE'NIS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-memilius1@regione.vda.it,Non Disponibile,www.montemilius1.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83300A,RIO DI PUSTERIA/MUEHLBACH,TBIC83300A,RIO DI PUSTERIA/MUEHLBACH,PIAZZA SCUOLA 1,39037,H299,RIO DI PUSTERIA * MUEHLBACH,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.muehlbach@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC84400R,TERLANO - TERLAN,TBIC84400R,TERLANO - TERLAN,MARGARETE-MAULTASCH-PLATZ 1,39018,L108,TERLANO * TERLAN,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.terlan@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP016000,Ottavio Jacquemet,AO1E016030,primaria Issogne,"Località La Colombiere, 18",11020,E371,ISSOGNE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-ojacquemet@regione.vda.it,Non Disponibile,www.ottaviojacquemet.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80800N,SAN VALENTINO - SANKT VALENTIN,TBEE80803T,RESIA/RESCHEN,Non Disponibile,39020,D222,CURON VENOSTA * GRAUN IM VINSC,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC817004,"""CIVEZZANO""",TNEE817049,ALBIANO,"VIA ALESSANDRO MANZONI, 10",38041,A158,ALBIANO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,http://iccivezzano.infovals.eu
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP014000,Abbé J.M.Trèves,AO1E014030,primaria  Antey-St-André,"Loc. Capoluogo, 32",11020,A305,ANTEY-SAINT-ANDRE',NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-ajmtreves@regione.vda.it,Non Disponibile,www.abbetreves.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE014003,CHIUSA I/KLAUSEN I,TBEE014003,CHIUSA I/KLAUSEN I,MARKTPLATZ 1,39043,C652,CHIUSA * KLAUSEN,NORMALE,SCUOLA PRIMARIA,SI,Non Disponibile,gsd.klausen1@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC818008,"SARNTHEIN - ""KLARA POELT""",TBIC818008,"SARNTHEIN - ""KLARA POELT""",SAMERSTRASSE 3,39058,I431,SARENTINO * SARNTAL,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.sarntal@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE014003,CHIUSA I/KLAUSEN I,TBEE014025,GUDON/GUFIDAUN,Non Disponibile,39043,C652,CHIUSA * KLAUSEN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP019000,"Liceo classico, artistico e musicale",AOIP019000,"Liceo classico, artistico e musicale","Via dei Cappuccini, 2",11100,A326,AOSTA,NORMALE,Non Disponibile,ND,Non Disponibile,is-licam@regione.vda.it,is-licam@pec.regione.vda.it,http://www.classicoartisticomusicale.scuole.vda.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP006000,Valdigne Mont Blanc,AO1E006010,primaria La Salle,"Via Colomba, 20",11015,E458,LA SALLE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-valdigne@regione.vda.it,Non Disponibile,www.isvmb.edu.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC827003,PAUL TROGER,TBMM827014,PAUL TROGER,VIA        CASTELLO            14,39035,F371,MONGUELFO-TEDISO * WELSBERG-TA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP004000,Emile Lexert,AOIP004000,Emile Lexert,"VIA MAGG. CAVAGNET, 8",11100,A326,AOSTA,NORMALE,Non Disponibile,ND,Non Disponibile,is-elexert@regione.vda.it,is-elexert@pec.regione.vda.it,http://www.elexert.scuole.vda.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP013000,Abbé Prosper Duc,AO1A013050,infanzia Verrayes,Via Capoluogo,11020,L783,VERRAYES,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-apduc@regione.vda.it,Non Disponibile,www.prosperduc.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC85100G,"""TRENTO 7""",TNEE85104R,"TRENTO - GARDOLO ""SANT'ANNA""","VIA SANT'ANNA, 3",38014,L378,TRENTO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.trento7.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBIC81300D,MERANO II,IBEE81301G,GIOVANNI PASCOLI,"VIA VIGNETI,1",39012,F132,MERANO * MERAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80100V,VAL DI NON,TBEE801022,PROVES/PROVEIS,Non Disponibile,39040,H081,PROVES * PROVEIS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC809005,"""CAVALESE""",TNIC809005,"""CAVALESE""","PIAZZA G. VERDI, 6",38033,C372,CAVALESE,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.cavalese@scuole.provincia.tn.it,ic.cavalese@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBIC815005,MERANO I,IBMM815016,GIOVANNI SEGANTINI,VIA        TRENTA APRILE       10,39012,F132,MERANO * MERAN,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC82400G,JOHANN JAKOB STAFFLER,TBEE82407X,STULLES/STULS,Non Disponibile,39013,F766,MOSO IN PASSIRIA * MOOS IN PAS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80400A,SAN GIOVANNI/SANKT JOHANN,TBEE80404G,SAN PIETRO/SANKT PETER,Non Disponibile,39030,L595,VALLE AURINA * AHRNTAL,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83600T,ALBERT SCHWEITZER,TBIC83600T,ALBERT SCHWEITZER,VIALE      EUROPA 5,39100,A952,BOLZANO * BOZEN,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.bozeneuropa@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP018000,ELIO REINOTTI,AOIP018000,ELIO REINOTTI,"Via E. Chanoux, 154",11026,G854,PONT-SAINT-MARTIN,NORMALE,Non Disponibile,ND,Non Disponibile,is-ereinotti@regione.vda.it,is-ereinotti@pec.regione.vda.it,http://www.elioreinotti.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP017000,Mont Rose A,AO1E017040,primaria Vert,Via Grand Vert,11020,D338,DONNAS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-mrosea@regione.vda.it,Non Disponibile,www.montrosea.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP012000,Mont Emilius 3,AO1A012050,infanzia Pollein,Località Capoluogo,11020,G794,POLLEIN,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-memilius3@regione.vda.it,Non Disponibile,www.montemilius3.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTD020009,"""FELICE E GREGORIO FONTANA"" - ROVERETO",TNTD02050P,FELICE GREGORIO FONTANA ROVERETO SERALE,"VIA DEL TEATRO, 4",38068,H612,ROVERETO,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,segreteria@fgfontana.eu,Non Disponibile,www.fgfontana.eu
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC809005,"""CAVALESE""",TNMM809016,"CAVALESE ""GIOVANNI SEGANTINI""","PIAZZA G.VERDI, 6",38033,C372,CAVALESE,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,WWW.ICCAVALESE.IT
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC81900Q,"""TRENTO 1""",TNIC81900Q,"""TRENTO 1""","VIA ZNOJMO, 24",38123,L378,TRENTO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.ic.tn1@scuole.provincia.tn.it,ic.trento1@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC81000N,MICHAEL PACHER,TBEE81002R,EORES/AFERS,Non Disponibile,39042,B160,BRESSANONE * BRIXEN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIS02300X,ISTITUTO TEC. ECONOMICO BRUNICO,TBTD023016,ISTITUTO TECNICO ECONOMICO BRUNICO,"VIA JOSEF FERRARI, 12",39031,B220,BRUNICO * BRUNECK,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC842005,MERAN/OBERMAIS MERANO/MAIA ALTA,TBEE842039,TALLE DI SOPRA/OBERTALL,Non Disponibile,39017,I519,SCENA * SCHENNA,DI MONTAGNA,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBMM01500T,EGNA - NEUMARKT,TBMM01500T,EGNA - NEUMARKT,VIA        BOLZANO             19,39044,D392,EGNA * NEUMARKT,NORMALE,SCUOLA PRIMO GRADO,SI,Non Disponibile,ms.neumarkt@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE01500V,CHIUSA II/KLAUSEN II,TBEE015076,CAERNA/GARN,Non Disponibile,39040,L724,VELTURNO * FELDTHURNS,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP009000,Grand Combin,AO1A009030,infanzia Gignod,"Loc. Capoluogo, 2",11010,E029,GIGNOD,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-gcombin@regione.vda.it,Non Disponibile,https://grandcombin.iswebcloud.it
